                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2295,                 1.5624,                 1.1544,                0.53316,                0.36947,                0.36292,                0.24865,                 1.2987,                 1.6816,                 1.2072,             0.00056911,             0.00056911,             0.00056911
                     35,                 1.2648,                 1.5786,                 1.1698,                0.52823,                0.36044,                0.34705,                0.24008,                 1.2907,                 1.6964,                 1.2148,             0.00056086,             0.00056086,             0.00056086
                     36,                 1.2363,                 1.5544,                 1.1596,                0.54514,                0.37019,                0.35396,                 0.2483,                 1.2527,                 1.6551,                 1.1976,             0.00055261,             0.00055261,             0.00055261
                     37,                 1.2369,                 1.5669,                  1.156,                0.53323,                0.38399,                0.36893,                0.25649,                  1.276,                 1.6627,                 1.2076,             0.00054437,             0.00054437,             0.00054437
                     38,                 1.2369,                 1.5556,                 1.1561,                0.53606,                0.36317,                0.35921,                0.25129,                 1.2502,                 1.6661,                 1.1962,             0.00053612,             0.00053612,             0.00053612
                     39,                 1.2453,                 1.5564,                 1.1594,                 0.5328,                0.38381,                0.36161,                0.24982,                 1.2539,                  1.675,                 1.1926,             0.00052787,             0.00052787,             0.00052787
                     40,                 1.2324,                 1.5479,                 1.1607,                0.53987,                0.37379,                0.36534,                0.25416,                  1.255,                 1.6506,                 1.1905,             0.00051963,             0.00051963,             0.00051963
                     41,                 1.2413,                 1.5324,                 1.1568,                0.54144,                0.38156,                0.36487,                0.25443,                 1.2522,                  1.667,                  1.197,             0.00051138,             0.00051138,             0.00051138
                     42,                 1.2385,                 1.5328,                 1.1557,                0.53698,                0.36458,                0.36199,                0.25475,                 1.2564,                  1.654,                 1.1951,             0.00050313,             0.00050313,             0.00050313
                     43,                  1.231,                 1.5401,                  1.144,                0.54202,                0.38229,                0.38005,                0.26835,                 1.2519,                 1.6355,                 1.1931,             0.00049489,             0.00049489,             0.00049489
                     44,                 1.2279,                 1.5282,                 1.1536,                0.54429,                0.36096,                0.36028,                0.25332,                  1.267,                 1.6795,                 1.2054,             0.00048664,             0.00048664,             0.00048664
                     45,                 1.2028,                 1.4972,                 1.1374,                0.55865,                0.37316,                0.37882,                 0.2633,                 1.2407,                 1.6424,                 1.1861,             0.00047839,             0.00047839,             0.00047839
                     46,                 1.2116,                 1.4987,                 1.1421,                0.51617,                0.39472,                 0.3724,                0.26236,                 1.2552,                  1.662,                 1.2061,             0.00047015,             0.00047015,             0.00047015
                     47,                 1.2123,                 1.4951,                 1.1442,                0.55975,                0.36982,                0.36683,                0.25172,                 1.2696,                 1.6588,                 1.2056,              0.0004619,              0.0004619,              0.0004619
                     48,                 1.2023,                 1.5036,                 1.1411,                0.55903,                 0.3561,                0.37503,                0.26274,                 1.2546,                 1.6524,                 1.1968,             0.00045365,             0.00045365,             0.00045365
                     49,                  1.211,                 1.4854,                  1.142,                0.56282,                0.37069,                0.37921,                0.26292,                 1.2476,                 1.6401,                 1.1931,             0.00044541,             0.00044541,             0.00044541
                     50,                 1.1876,                 1.4694,                 1.1391,                0.54205,                0.37983,                0.37452,                0.26258,                 1.2681,                 1.6609,                 1.1987,             0.00043716,             0.00043716,             0.00043716
                     51,                 1.1975,                 1.4665,                 1.1396,                0.54626,                0.36676,                0.37169,                0.26266,                 1.2462,                   1.68,                 1.1991,             0.00042891,             0.00042891,             0.00042891
